timestamp,number
2021-07-26T18:47:00Z,1
2021-07-26T19:00:00Z,1
2021-07-26T19:07:00Z,1
2021-07-26T19:11:00Z,2
2021-07-26T19:20:00Z,10
2021-07-26T19:30:00Z,2
2021-07-26T19:35:00Z,2
2021-07-26T19:40:00Z,6
2021-07-26T19:53:00Z,3
2021-07-26T19:59:00Z,3
2021-07-26T20:05:00Z,4
2021-07-26T20:15:00Z,1
2021-07-26T20:18:00Z,3
2021-07-26T20:20:00Z,2
2021-07-26T20:22:00Z,2
2021-07-26T20:25:00Z,3
2021-07-26T20:31:00Z,3
2021-07-26T20:35:00Z,1
2021-07-26T20:41:00Z,1
2021-07-26T20:42:00Z,1
2021-07-26T20:45:00Z,1
2021-07-26T20:50:00Z,2
2021-07-26T20:55:00Z,3
2021-07-26T21:07:00Z,1
2021-07-26T21:11:00Z,2
2021-07-26T21:13:00Z,1
2021-07-26T21:15:00Z,7
2021-07-26T21:16:00Z,1
2021-07-26T21:31:00Z,5
2021-07-26T21:37:00Z,1
2021-07-26T21:39:00Z,1
2021-07-26T21:41:00Z,2
2021-07-26T21:43:00Z,3
2021-07-26T21:45:00Z,1
2021-07-26T22:06:00Z,4
2021-07-26T22:08:00Z,1
2021-07-26T22:16:00Z,2
2021-07-26T22:17:00Z,1
2021-07-26T22:19:00Z,2
2021-07-26T22:23:00Z,1
2021-07-26T22:36:00Z,1
2021-07-26T22:37:00Z,5
2021-07-26T22:44:00Z,1
2021-07-26T22:51:00Z,9
2021-07-26T22:54:00Z,4
2021-07-26T22:57:00Z,2
2021-07-26T23:03:00Z,1
2021-07-26T23:06:00Z,8
2021-07-26T23:20:00Z,1
2021-07-26T23:32:00Z,4
2021-07-26T23:37:00Z,1
2021-07-26T23:39:00Z,1
2021-07-26T00:00:00Z,1
2021-07-26T00:02:00Z,1
2021-07-26T00:13:00Z,2
2021-07-26T00:18:00Z,1
2021-07-26T00:22:00Z,2
2021-07-26T00:29:00Z,1
